"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2023","EQ","50.20","50.55","49.00","50.10","50.40","50.25","49.80","88.70","40.60","5,04,26,174","2,51,13,05,115.55","75,994"
"27-Mar-2023","EQ","50.70","51.30","49.25","50.65","50.05","50.10","50.41","88.70","40.60","4,96,18,132","2,50,10,32,621.45","96,327"
"24-Mar-2023","EQ","52.50","52.85","50.15","52.65","50.45","50.65","51.09","88.70","40.60","6,72,43,087","3,43,52,83,550.60","1,09,112"
"23-Mar-2023","EQ","52.90","53.20","52.10","53.10","53.05","52.65","52.73","88.70","40.60","3,28,16,290","1,73,04,95,514.10","49,331"
"22-Mar-2023","EQ","53.40","53.90","52.70","53.00","53.10","53.10","53.27","88.70","40.60","3,84,44,991","2,04,79,39,079.05","59,570"
"21-Mar-2023","EQ","53.85","54.15","52.65","53.55","52.85","53.00","53.54","88.70","40.60","3,16,32,951","1,69,36,02,465.35","51,384"
"20-Mar-2023","EQ","53.60","54.75","52.20","54.90","53.45","53.55","53.59","88.70","40.60","6,55,78,919","3,51,40,64,600.50","79,349"
"17-Mar-2023","EQ","53.45","55.75","53.05","53.05","55.30","54.90","54.43","88.70","40.60","11,29,18,857","6,14,58,77,226.50","1,19,813"
"16-Mar-2023","EQ","50.90","53.70","49.85","50.75","53.40","53.05","51.74","88.70","40.60","6,12,37,058","3,16,84,52,954.70","98,458"
"15-Mar-2023","EQ","51.50","52.20","50.55","50.75","50.90","50.75","51.06","88.70","40.60","3,87,63,143","1,97,94,00,474.95","85,114"
"14-Mar-2023","EQ","52.00","52.50","50.20","51.90","50.85","50.75","51.12","88.70","40.60","5,22,47,904","2,67,09,17,375.05","1,25,855"
"13-Mar-2023","EQ","53.95","54.70","51.60","53.85","51.75","51.90","52.62","88.70","40.60","5,23,74,659","2,75,58,84,428.40","99,638"
"10-Mar-2023","EQ","53.80","54.50","53.30","54.05","53.90","53.85","53.99","88.70","40.60","3,92,26,931","2,11,78,43,410.30","57,899"
"09-Mar-2023","EQ","55.10","56.35","53.90","54.80","54.10","54.05","55.12","88.70","40.60","5,60,21,946","3,08,79,83,878.75","82,116"
